Lap;XTE;Steering;Throttle;Velocity;Acceleration
1;0.05224432;-0.1681745;0.2828218;0.1405746;0.1111424
1;0.05228762;-0.1681745;0.2828218;0.1610833;0.1414452
1;0.05214363;-0.2682129;0.2827085;0.2580709;0.2418616
1;0.05207211;-0.2682129;0.2827085;0.2907182;0.2811171
1;0.05199741;-0.2682129;0.2827085;0.2969841;0.2907182
1;0.0519417;-0.2682129;0.2827085;0.3081728;0.2969841
1;0.05190779;-0.2682129;0.2827085;0.3148705;0.3081728
1;0.05190779;-0.2682129;0.2827085;0.3148705;0.3081728
1;0.05190779;-0.2682129;0.2827085;0.3148705;0.3081728
1;0.05188686;-0.2682129;0.2827085;0.3529211;0.3148705
1;0.05188686;-0.2682129;0.2827085;0.3529211;0.3148705
1;0.05161593;-0.2682129;0.2827085;0.3967614;0.3690156
1;0.05150697;-0.2682129;0.2827085;0.3978955;0.3967614
1;0.05150697;-0.2682129;0.2827085;0.3978955;0.3967614
1;0.05150697;-0.2682129;0.2827085;0.3978955;0.3967614
1;0.05150697;-0.2682129;0.2827085;0.3978955;0.3967614
1;0.0514692;-0.3838787;0.2839496;0.4024466;0.3978955
1;0.05130546;-0.3909536;0.2856628;0.4592268;0.4546337
1;0.05122945;-0.3909536;0.2856628;0.4849853;0.4592268
1;0.05122945;-0.3909536;0.2856628;0.4849853;0.4592268
1;0.05122945;-0.3909536;0.2856628;0.4849853;0.4592268
1;0.05117664;-0.3909536;0.2856628;0.4855324;0.4849853
1;0.05117664;-0.3909536;0.2856628;0.4855324;0.4849853
1;0.05106012;-0.3575845;0.2840874;0.5336336;0.5154987
1;0.05102482;-0.3575845;0.2840874;0.5568411;0.5336336
1;0.05102482;-0.3575845;0.2840874;0.5568411;0.5336336
1;0.05102482;-0.3575845;0.2840874;0.5568411;0.5336336
1;0.05089954;-0.3575845;0.2840874;0.5662698;0.5568411
1;0.05089954;-0.3575845;0.2840874;0.5662698;0.5568411
1;0.05060786;-0.3575845;0.2840874;0.59837;0.596038
1;0.05051548;-0.26263;0.2844433;0.6399641;0.59837
1;0.05051548;-0.26263;0.2844433;0.6399641;0.59837
1;0.05051548;-0.26263;0.2844433;0.6399641;0.59837
1;0.05051548;-0.26263;0.2844433;0.6399641;0.59837
1;0.05034229;-0.26263;0.2844433;0.6423179;0.6399641
1;0.05008391;-0.311696;0.284425;0.6868388;0.6624491
1;0.04995671;-0.311696;0.284425;0.7046144;0.6868388
1;0.04995671;-0.311696;0.284425;0.7046144;0.6868388
1;0.04995671;-0.311696;0.284425;0.7046144;0.6868388
1;0.04995671;-0.311696;0.284425;0.7046144;0.6868388
1;0.04986285;-0.311696;0.284425;0.7220996;0.7046144
1;0.04954983;-0.4066538;0.2846218;0.751045;0.7403306
1;0.04943361;-0.4066538;0.2846218;0.7866688;0.751045
1;0.04943361;-0.4066538;0.2846218;0.7866688;0.751045
1;0.04943361;-0.4066538;0.2846218;0.7866688;0.751045
1;0.04943361;-0.4066538;0.2846218;0.7866688;0.751045
1;0.04933374;-0.4066538;0.2846218;0.7828968;0.7866688
1;0.04899198;-0.4614654;0.2866854;0.8281524;0.8193541
1;0.0488367;-0.4614654;0.2866854;0.8335467;0.8281524
1;0.0488367;-0.4614654;0.2866854;0.8335467;0.8281524
1;0.0488367;-0.4614654;0.2866854;0.8335467;0.8281524
1;0.0488367;-0.4614654;0.2866854;0.8335467;0.8281524
1;0.04874586;-0.4614654;0.2866854;0.8523276;0.8335467
1;0.04822789;-0.4614654;0.2866854;0.9038611;0.8904007
1;0.04810361;-0.4614654;0.2866854;0.9300243;0.9038611
1;0.04810361;-0.4614654;0.2866854;0.9300243;0.9038611
1;0.04810361;-0.4614654;0.2866854;0.9300243;0.9038611
1;0.04810361;-0.4614654;0.2866854;0.9300243;0.9038611
1;0.04794543;-0.5241899;0.2852509;0.920748;0.9300243
1;0.04754021;-0.5241899;0.2852509;0.972883;0.9484798
1;0.04741257;-0.5241899;0.2852509;0.969141;0.972883
1;0.04741257;-0.5241899;0.2852509;0.969141;0.972883
1;0.04741257;-0.5241899;0.2852509;0.969141;0.972883
1;0.04741257;-0.5241899;0.2852509;0.969141;0.972883
1;0.04726708;-0.5241899;0.2852509;0.979277;0.969141
1;0.04681089;-0.5126723;0.2842696;1.022934;1.001764
1;0.04662076;-0.5126723;0.2842696;1.062408;1.022934
1;0.04662076;-0.5126723;0.2842696;1.062408;1.022934
1;0.04662076;-0.5126723;0.2842696;1.062408;1.022934
1;0.04645938;-0.5126723;0.2842696;1.065716;1.062408
1;0.04645938;-0.5126723;0.2842696;1.065716;1.062408
1;0.04578086;-0.4354689;0.2859643;1.110976;1.088326
1;0.04552309;-0.4354689;0.2859643;1.104617;1.110976
1;0.04552309;-0.4354689;0.2859643;1.104617;1.110976
1;0.04552309;-0.4354689;0.2859643;1.104617;1.110976
1;0.04552309;-0.4354689;0.2859643;1.104617;1.110976
1;0.04534335;-0.4354689;0.2859643;1.118408;1.104617
1;0.04468865;-0.3563927;0.2863225;1.174075;1.158273
1;0.04450707;-0.3563927;0.2863225;1.193206;1.174075
1;0.04450707;-0.3563927;0.2863225;1.193206;1.174075
1;0.04450707;-0.3563927;0.2863225;1.193206;1.174075
1;0.04450707;-0.3563927;0.2863225;1.193206;1.174075
1;0.04425646;-0.3563927;0.2863225;1.192522;1.193206
1;0.04348861;-0.3251914;0.2859895;1.236616;1.228924
1;0.04328015;-0.3251914;0.2859895;1.250616;1.236616
1;0.04328015;-0.3251914;0.2859895;1.250616;1.236616
1;0.04306449;-0.3251914;0.2859895;1.264232;1.250616
1;0.04306449;-0.3251914;0.2859895;1.264232;1.250616
1;0.04306449;-0.3251914;0.2859895;1.264232;1.250616
1;0.04227683;-0.2409152;0.285898;1.310044;1.281036
1;0.04208517;-0.2409152;0.285898;1.323675;1.310044
1;0.04208517;-0.2409152;0.285898;1.323675;1.310044
1;0.04208517;-0.2409152;0.285898;1.323675;1.310044
1;0.04208517;-0.2409152;0.285898;1.323675;1.310044
1;0.04182936;-0.2409152;0.285898;1.314169;1.323675
1;0.04103056;-0.2409152;0.285898;1.367518;1.35409
1;0.04080491;-0.1265426;0.285775;1.378101;1.367518
1;0.04080491;-0.1265426;0.285775;1.378101;1.367518
1;0.04080491;-0.1265426;0.285775;1.378101;1.367518
1;0.04080491;-0.1265426;0.285775;1.378101;1.367518
1;0.04054889;-0.1265426;0.285775;1.399957;1.378101
1;0.03983866;-0.1265426;0.285775;1.442784;1.424787
1;0.03961591;-0.1361541;0.284627;1.442585;1.442784
