Lap;XTE;Steering;Throttle;Velocity;Acceleration
1;0.05226628;0.009062171;0.2716682;0.1229087;0.1221106
1;0.0521998;0.009062171;0.2716682;0.1752112;0.1381926
1;0.05219267;0.009062171;0.2716682;0.2147487;0.1940282
1;0.0521768;0.009062171;0.2716682;0.2176625;0.2147487
1;0.05218558;0.009062171;0.2716682;0.2592471;0.2176625
1;0.05217617;0.009062171;0.2716682;0.2609293;0.2592471
1;0.05217617;0.009062171;0.2716682;0.2609293;0.2592471
1;0.05217617;0.009062171;0.2716682;0.2609293;0.2592471
1;0.05214534;0.009062171;0.2716682;0.2899626;0.2609293
1;0.05206376;-0.6367766;0.2654707;0.3358505;0.3130186
1;0.05176258;-0.6367766;0.2654707;0.3953027;0.3974681
1;0.05127405;-0.7180399;0.2640613;0.4659179;0.4534288
1;0.05118355;-0.7180399;0.2640613;0.4977035;0.4659179
1;0.05101263;-0.7180399;0.2640613;0.5087053;0.4951032
1;0.05089113;-0.7180399;0.2640613;0.5203063;0.5087053
1;0.05077749;-0.7180399;0.2640613;0.5537865;0.5203063
1;0.05062375;-0.3496446;0.2675248;0.5580084;0.5537865
1;0.05058284;-0.3496446;0.2675248;0.5714083;0.5580084
1;0.05058284;-0.3496446;0.2675248;0.5714083;0.5580084
1;0.05058284;-0.3496446;0.2675248;0.5714083;0.5580084
1;0.05058284;-0.3496446;0.2675248;0.5714083;0.5580084
1;0.05042161;-0.3496446;0.2675248;0.5712484;0.5714083
1;0.05012476;-0.3496446;0.2675248;0.6318547;0.6021543
1;0.05001546;-0.3496446;0.2675248;0.6427715;0.6318547
1;0.05001546;-0.3496446;0.2675248;0.6427715;0.6318547
1;0.05001546;-0.3496446;0.2675248;0.6427715;0.6318547
1;0.05001546;-0.3496446;0.2675248;0.6427715;0.6318547
1;0.04986173;-0.3496446;0.2675248;0.6523418;0.6427715
1;0.04956888;-0.3496446;0.2675248;0.6914411;0.6658732
1;0.04943856;-0.1659944;0.270014;0.7139198;0.6914411
1;0.04943856;-0.1659944;0.270014;0.7139198;0.6914411
1;0.04943856;-0.1659944;0.270014;0.7139198;0.6914411
1;0.04943856;-0.1659944;0.270014;0.7139198;0.6914411
1;0.04937455;-0.1659944;0.270014;0.7194061;0.7139198
1;0.04909155;-0.1659944;0.270014;0.7639763;0.7502012
1;0.04901805;-0.1659944;0.270014;0.7737361;0.7639763
1;0.04901805;-0.1659944;0.270014;0.7737361;0.7639763
1;0.04901805;-0.1659944;0.270014;0.7737361;0.7639763
1;0.04901805;-0.1659944;0.270014;0.7737361;0.7639763
1;0.04890953;-0.1891598;0.2724678;0.7725235;0.7737361
1;0.04881923;-0.1891598;0.2724678;0.8016709;0.7725235
1;0.04852328;-0.1891598;0.2724678;0.8485056;0.8255839
1;0.04833734;-0.1891598;0.2724678;0.8561355;0.8485056
1;0.04833734;-0.3209795;0.2730657;0.8561355;0.8485056
1;0.04833734;-0.3209795;0.2730657;0.8561355;0.8485056
