Lap;XTE;Steering;Throttle;Velocity;Acceleration
1;0.05205768;1.505563;0.3007871;0.1388092;0.1176944
1;0.05212322;1.505563;0.3007871;0.1637319;0.1418957
1;0.05220441;1.505563;0.3007871;0.2155386;0.1971772
1;0.05230013;1.505563;0.3007871;0.2284323;0.2155386
1;0.05230013;1.505563;0.3007871;0.2284323;0.2155386
1;0.05230013;1.505563;0.3007871;0.2284323;0.2155386
1;0.05242802;1.505563;0.3007871;0.2414753;0.2284323
1;0.05263934;1.712333;0.3004319;0.2798489;0.2629337
1;0.05273071;1.712333;0.3004319;0.3084395;0.289026
1;0.05286995;1.712333;0.3004319;0.3231557;0.3164542
1;0.05323701;1.368211;0.2969026;0.397374;0.4027781
1;0.05338753;1.368211;0.2969026;0.4373543;0.397374
1;0.0535021;1.368211;0.2969026;0.4197854;0.4373543
1;0.0535021;1.368211;0.2969026;0.4197854;0.4373543
1;0.0535021;1.368211;0.2969026;0.4197854;0.4373543
1;0.05375184;1.368211;0.2969026;0.4559871;0.4464002
1;0.05375184;1.368211;0.2969026;0.4559871;0.4464002
1;0.05390652;1.368211;0.2969026;0.4924611;0.4559871
1;0.05402647;1.60364;0.2973808;0.5089948;0.4949977
1;0.05402647;1.60364;0.2973808;0.5089948;0.4949977
1;0.05402647;1.60364;0.2973808;0.5089948;0.4949977
1;0.05417967;1.60364;0.2973808;0.5430276;0.5273237
1;0.05432311;1.60364;0.2973808;0.5645359;0.5430276
1;0.05440537;1.751852;0.2955121;0.568091;0.5645359
1;0.05440537;1.751852;0.2955121;0.568091;0.5645359
1;0.05440537;1.751852;0.2955121;0.568091;0.5645359
1;0.05440537;1.751852;0.2955121;0.568091;0.5645359
1;0.05451076;1.751852;0.2955121;0.5935387;0.568091
1;0.05491283;1.751852;0.2955121;0.6261266;0.6003665
1;0.05506617;2.09476;0.293322;0.6554409;0.6261266
1;0.05506617;2.09476;0.293322;0.6554409;0.6261266
1;0.05506617;2.09476;0.293322;0.6554409;0.6261266
1;0.05506617;2.09476;0.293322;0.6554409;0.6261266
1;0.05526686;2.09476;0.293322;0.6576802;0.6554409
1;0.05575824;2.09476;0.293322;0.6960953;0.6907017
1;0.05600362;2.304899;0.2933084;0.7107244;0.6960953
1;0.05600362;2.304899;0.2933084;0.7107244;0.6960953
1;0.05600362;2.304899;0.2933084;0.7107244;0.6960953
1;0.05600362;2.304899;0.2933084;0.7107244;0.6960953
1;0.05635199;2.304899;0.2933084;0.7416509;0.7107244
1;0.05743257;2.304899;0.2933084;0.7780392;0.770073
1;0.05778496;2.304899;0.2933084;0.7842626;0.7780392
1;0.05778496;2.304899;0.2933084;0.7842626;0.7780392
1;0.05778496;2.467236;0.295921;0.7842626;0.7780392
1;0.05778496;2.467236;0.295921;0.7842626;0.7780392
1;0.05815608;2.467236;0.295921;0.8012689;0.7842626
1;0.05961622;2.467236;0.295921;0.8557622;0.8466516
1;0.06012929;2.467236;0.295921;0.8729012;0.8557622
1;0.06012929;2.467236;0.295921;0.8729012;0.8557622
1;0.06012929;2.467236;0.295921;0.8729012;0.8557622
1;0.06012929;2.467236;0.295921;0.8729012;0.8557622
1;0.06066548;2.761931;0.2931257;0.872031;0.8729012
1;0.06255214;2.761931;0.2931257;0.9409333;0.9167462
1;0.06322836;2.761931;0.2931257;0.9335561;0.9409333
1;0.06322836;2.761931;0.2931257;0.9335561;0.9409333
1;0.06322836;2.761931;0.2931257;0.9335561;0.9409333
1;0.06322836;2.761931;0.2931257;0.9335561;0.9409333
1;0.06399125;2.603697;0.2943477;0.9531093;0.9335561
1;0.06623478;2.603697;0.2943477;1.000021;0.9869061
1;0.06709831;2.603697;0.2943477;1.020381;1.000021
1;0.06709831;2.603697;0.2943477;1.020381;1.000021
1;0.06709831;2.603697;0.2943477;1.020381;1.000021
1;0.06709831;2.603697;0.2943477;1.020381;1.000021
1;0.06794481;2.603697;0.2943477;1.034625;1.020381
1;0.07066139;2.445636;0.2976388;1.073009;1.04952
1;0.07158436;2.445636;0.2976388;1.066226;1.073009
1;0.07158436;2.445636;0.2976388;1.066226;1.073009
1;0.07158436;2.445636;0.2976388;1.066226;1.073009
1;0.07158436;2.445636;0.2976388;1.066226;1.073009
1;0.07238571;2.445636;0.2976388;1.088654;1.066226
1;0.07518607;2.08059;0.300977;1.139595;1.128545
1;0.07612991;2.08059;0.300977;1.149509;1.139595
1;0.07612991;2.08059;0.300977;1.149509;1.139595
1;0.07612991;2.08059;0.300977;1.149509;1.139595
1;0.07612991;2.08059;0.300977;1.149509;1.139595
1;0.07708593;2.08059;0.300977;1.157943;1.149509
1;0.07981059;1.906668;0.303007;1.200432;1.201742
1;0.08072429;1.906668;0.303007;1.213637;1.200432
1;0.08072429;1.906668;0.303007;1.213637;1.200432
1;0.08072429;1.906668;0.303007;1.213637;1.200432
1;0.08072429;1.906668;0.303007;1.213637;1.200432
1;0.08169266;1.906668;0.303007;1.232273;1.213637
1;0.08472707;1.705375;0.3026974;1.295486;1.268275
1;0.08572449;1.705375;0.3026974;1.279158;1.295486
1;0.08572449;1.705375;0.3026974;1.279158;1.295486
1;0.08572449;1.705375;0.3026974;1.279158;1.295486
1;0.08572449;1.705375;0.3026974;1.279158;1.295486
1;0.08679646;1.705375;0.3026974;1.295472;1.279158
1;0.09001411;1.388281;0.3016749;1.357603;1.332833
1;0.09109574;1.388281;0.3016749;1.354412;1.357603
1;0.09109574;1.388281;0.3016749;1.354412;1.357603
1;0.09109574;1.388281;0.3016749;1.354412;1.357603
1;0.09109574;1.388281;0.3016749;1.354412;1.357603
1;0.09218142;1.388281;0.3016749;1.366587;1.354412
1;0.09566997;1.427891;0.3011211;1.430056;1.3913
1;0.09692525;1.427891;0.3011211;1.433608;1.430056
1;0.09692525;1.427891;0.3011211;1.433608;1.430056
1;0.09692525;1.427891;0.3011211;1.433608;1.430056
1;0.09692525;1.427891;0.3011211;1.433608;1.430056
1;0.09813175;1.427891;0.3011211;1.432768;1.433608
1;0.1018469;1.427891;0.3011211;1.498517;1.467624
1;0.1031015;1.448087;0.2936099;1.486637;1.498517
1;0.1031015;1.448087;0.2936099;1.486637;1.498517
1;0.1031015;1.448087;0.2936099;1.486637;1.498517
1;0.1031015;1.448087;0.2936099;1.486637;1.498517
1;0.1043966;1.448087;0.2936099;1.510175;1.486637
1;0.1085288;1.448087;0.2936099;1.550745;1.536987
1;0.1098829;0.8495572;0.2844279;1.549207;1.550745
1;0.1098829;0.8495572;0.2844279;1.549207;1.550745
1;0.1098829;0.8495572;0.2844279;1.549207;1.550745
1;0.1098829;0.8495572;0.2844279;1.549207;1.550745
1;0.1113485;0.8495572;0.2844279;1.574675;1.549207
1;0.1156413;0.8495572;0.2844279;1.61041;1.598416
1;0.1170972;0.8495572;0.2844279;1.621939;1.61041
1;0.1170972;0.8495572;0.2844279;1.621939;1.61041
1;0.1170972;0.8495572;0.2844279;1.621939;1.61041
1;0.1170972;-0.5740829;0.2795999;1.621939;1.61041
1;0.1184884;-0.5740829;0.2795999;1.623283;1.621939
1;0.1227194;-0.5740829;0.2795999;1.650417;1.655314
1;0.1240404;-0.5740829;0.2795999;1.68895;1.650417
1;0.1240404;-0.5740829;0.2795999;1.68895;1.650417
1;0.1240404;-0.5740829;0.2795999;1.68895;1.650417
1;0.1240404;-0.5740829;0.2795999;1.68895;1.650417
1;0.1253842;0.2631579;0.2828459;1.685121;1.68895
1;0.1291939;0.2631579;0.2828459;1.735681;1.720659
1;0.1305205;0.2631579;0.2828459;1.742396;1.735681
1;0.1305205;0.2631579;0.2828459;1.742396;1.735681
1;0.1305205;0.2631579;0.2828459;1.742396;1.735681
1;0.1305205;0.2631579;0.2828459;1.742396;1.735681
1;0.1317596;-0.06886444;0.2843278;1.766214;1.742396
1;0.1355655;-0.06886444;0.2843278;1.782031;1.783387
1;0.1368103;-0.06886444;0.2843278;1.810937;1.782031
1;0.1368103;-0.06886444;0.2843278;1.810937;1.782031
1;0.1368103;-0.06886444;0.2843278;1.810937;1.782031
