Lap;XTE;Steering;Throttle;Velocity;Acceleration
1;0.052117;0.2004326;0.3392823;0.1398167;0.1336239
1;0.05208923;0.2004326;0.3392823;0.1635031;0.1398167
1;0.05208923;0.2004326;0.3392823;0.1635031;0.1398167
1;0.05208923;0.2004326;0.3392823;0.1635031;0.1398167
1;0.05205419;0.2004326;0.3392823;0.1778688;0.1635031
1;0.05203056;0.2004326;0.3392823;0.2530616;0.2134932
1;0.05196348;0.2004326;0.3392823;0.2624811;0.2530616
1;0.05196348;0.2004326;0.3392823;0.2624811;0.2530616
1;0.05196348;0.2004326;0.3392823;0.2624811;0.2530616
1;0.05196348;0.2004326;0.3392823;0.2624811;0.2530616
1;0.05197165;0.2004326;0.3392823;0.2807766;0.2624811
1;0.05187645;0.2004326;0.3392823;0.3126964;0.3227085
1;0.05187645;0.2004326;0.3392823;0.3126964;0.3227085
1;0.05182741;0.2004326;0.3392823;0.3384523;0.3126964
1;0.05182741;0.2578827;0.341428;0.3384523;0.3126964
1;0.05182741;0.2578827;0.341428;0.3384523;0.3126964
1;0.05175219;0.2578827;0.341428;0.3739203;0.3384523
1;0.05182791;0.2578827;0.341428;0.4156542;0.4081472
1;0.05182082;0.2578827;0.341428;0.4408163;0.4156542
1;0.05182082;0.1854771;0.3404238;0.4408163;0.4156542
1;0.05182082;0.1854771;0.3404238;0.4408163;0.4156542
1;0.05182892;0.1854771;0.3404238;0.4547874;0.4408163
1;0.05180937;0.1854771;0.3404238;0.4955409;0.4766237
1;0.05179347;0.1854771;0.3404238;0.4962089;0.4955409
1;0.05179347;0.1854771;0.3404238;0.4962089;0.4955409
1;0.05182118;0.1854771;0.3404238;0.520576;0.4962089
1;0.05182118;0.1854771;0.3404238;0.520576;0.4962089
1;0.05182118;0.1867733;0.3428834;0.520576;0.4962089
1;0.05185033;0.1867733;0.3428834;0.5535254;0.520576
1;0.0519045;0.1867733;0.3428834;0.5893223;0.568074
1;0.05192455;0.1867733;0.3428834;0.6182061;0.5893223
1;0.05192455;0.1867733;0.3428834;0.6182061;0.5893223
1;0.05192455;0.1867733;0.3428834;0.6182061;0.5893223
1;0.05192455;0.1867733;0.3428834;0.6182061;0.5893223
1;0.05195646;0.182164;0.3431458;0.6091051;0.6182061
1;0.05189484;0.182164;0.3431458;0.677735;0.6583198
1;0.0519094;0.182164;0.3431458;0.6973197;0.677735
1;0.0519094;0.182164;0.3431458;0.6973197;0.677735
